title,label
Paris Jackson Lesbian Bombshell!,0
Ben Affleck Called a 'Pig' After Rumors Surface He's Ready to Marry Girlfriend Lindsay Shookus,0
Jennifer Aniston Forgives Brad Pitt & Angelina Jolie For Cheating,0
Christian Bale avoiding sun to prepare for Dracula movie?,0
"Under Hosni Mubaraks rule, Egypt received more American dollars than any country besides Israel.",1
"Mr. President, multiple times from your administration there have come statements that Republicans have no ideas and no solutions"" on health care.	bipartisanship,health-care	tom-price	Congressman	Georgia	republican	1	2	5	3	0	a Republican retreat in Baltimore
1612.json	true	""There will be no public funding for abortion in this legislation.",1
Says tenure still exists but its been overhauled for teachers in New Jersey.,1
Kendall Jenner: Banned From Clippers Games Due to Blake Griffin Relationship?,0
"[Tailpipe emissions rules], if fully implemented with all the regulations that go with it, they will keep the temperature from rising nearly five one-hundredths of a degree Fahrenheit. By 2050.",1
Dealing with Disappointing Relationships: Change Your Expectations,0
Sexy Gigi Hadid GIFs,0
"This year, the overwhelming majority of new jobs are part time.",1
Says Gloria Steinem once called Kay Bailey Hutchison a female impersonator.,1
"Are Brad Pitt & Elle Macpherson dating? Well, no, they're not actually.",0
Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch.,1
"Says with Jon Corzine, its the first time, I think, in history where a former Senator has been subpoenaed to testify before his former colleagues.",1
Speaker Rubio supported gun restrictions that included background checks and waiting periods.,1
Richard Gere ‘dumps Julia Roberts’,0
The A-List of Z-List Celebrities,0
Matt Damon Taking Alyssa Milano’s Criticism To Heart — Doesn’t Condone Sexual Misconduct,0
Paris Jackson braless as split with boyfriend emerges,0
Brad Pitt and Jennifer Aniston might see each other at film festival,0
Fake News About Jim Carrey Starring In Terence McKenna Movie,0
The highest paid employee of the State of Rhode Island is a basketball coach.,1
Robert Osborne: Industry Mourns “Class Act” & “True Gentleman”,0
Only half of the murders in the city of St. Louis get solved.,1
"Meghan Markle receives support from Queen Elizabeth over family drama, report says",0
US report: Jennifer Aniston 'dumped on her 49th birthday',0
Blake Shelton And Miranda Lambert At War! Their Feud Is Nastier Than Fans Even Know,0
"Sarah Silverman, Kate Beckinsale Writing Comedy Series Together?",0
Sharon Osbourne Apologizes To Justin Bieber: “I Was Wrong” To “Attack” You,0
Says Obama broke his promise to offer a comprehensive immigration bill in his first year.,1
Gwen Stefani Addresses Rumors That She and Blake Shelton Are Getting Married,0
The Committee on Energy and Commerce,1
We Really Think Ben Affleck's Girlfriend Lindsay Shookus Is Pregnant,0
Mel B Clears Up Rumors About Her Rehab Plans,0
"Khloé Kardashian Is ""Begging"" for Tristan Thompson to Put a Ring on It Before Their Baby Comes (REPORT)",0
Says Your kid just ate 16 packs of sugar.,1
"Khloe Kardashian “Refuses To Pull A Kourtney,” Wants To Marry Tristan Thompson Is Made-Up Story",0
The majority of Austinites rent the places they live.,1
Pregnant Kate Middleton Hit With Cocaine Bombshell,0
"The Alternative Minimum Tax...was created by Congress in 1969 to affect 155 wealthy Americans. Because it was never indexed for inflation, those original 155 taxpayers has increased to affect about 3.5-million in 2006.",1
"Says Gov. Charlie Crist has called him ""a rock star.""",1
Says income tax rates under Eisenhower were as high as 90 percent.,1
Sarah Paulson Net Worth,0
Angelina Jolie Begs Tom Ford For Help Resurrecting Her Career,0
Nicole Kidman and Keith Urban Secretly Visited a Private Counseling Retreat (EXCLUSIVE),0
REPORT: Khloe Kardashian Pays a Ton for Off-Duty Cops to Follow Tristan Thompson Around,0
Caitlyn Jenner Calls Daughters Kylie & Kendall A Burden: ‘I Spent 23 Years Carting Them Around’,0
Politicians and Celebrities React to Trump's Supreme Court Justice Nominee,0
Sometimes I was the only no vote on the entire board.,1
The Economic Burden Caused by Tax Code Complexity,1
Scott Disick Is Reportedly Considering Writing a Kardashian Tell-All for $10 Million,0
LexisNexis(R) Publisher,1
Says Romney wants to add $2 trillion to the defense budget that the military hasnt asked for.,1
Celebrities React: Trump Withdraws Steph Curry White House Invitation,0
Meghan Markle Will Spend Her First Royal Birthday at a Wedding With Prince Harry,0
  Carrie Underwood NOT Trapped In Bad Marriage Trapped In Bad Marriage With Mike Fisher  Despite Report,0
Ben Affleck Cheated On Jennifer Garner With Nanny Christine Ouzounian: Report,0
Gotti (2018 film),0
"Pippa Middleton Denies Meghan Markle Wedding Invite, Fears Prince Harry’s Girlfriend Will Steal Spotlight?",0
"Every poll you see, the overwhelming majority of people want [E-Verify].",1
Ben Who? Liam Neeson Taken With His ‘Ultimate Dream Woman’ Jennifer Garner,0
People are freaking out that Laura Dern may have snubbed Reese Witherspoon after Emmy win,0
"In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city.",1
Says Senate candidate Katie McGinty made thousands from companies she previously regulated.,1
Says half the Americans dont pay any income taxes.,1
10% of fish across sushi restaurants not as labelled,0
Why Fergie & The Black Eyed Peas May Have Parted Ways & When It Happened,0
Prince Harry and Meghan Markle's honeymoon details revealed,0
Says six of the states 58 family planning centers had to close because of Gov. Chris Christies budget cuts.,1
IS WENDY WILLIAMS GOING TO REHAB?! :: CELEBSGO,0
Says he paid one dollar for a sweater at Kohls.,1
We have to recognize that our salaries for faculty are the lowest in New England with the exception of the University of Maine.,1
Kendra Wilkinson Admits She's Open to Having a Third Child with Husband Hank Baskett,0
Taylor Swift Hits Back at Tabloids,0
Rumor Bust! Kate Middleton & Meghan Markle Not Pregnant and Due the Same Day,0
Jennifer Lopez and Alex Rodriguez Visit His Old Stomping Ground at Yankee Stadium -- See the Pic!,0
"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.",1
Estonia Might Have The Most Efficient Tax Filing System In The World,1
Rihanna Sports Possible Baby Bump In Secret Photo Shoot [PICS],0
Paris Jackson addresses family issues after Janet Jackson performance,0
Latest News on Fired NBC Today Show Anchor,0
"Simple English Wikipedia, the free encyclopedia",0
    Kendall   Kylie Jenner Jenner NOT Upset Upset Over Caitlyn Engagement Engagement Despite Report,0
I'm the only Republican who has gotten endorsements in this presidential race from major labor unions...,1
Kelly Clarkson & Jennifer Hudson Are Returning to Coach 'The Voice' Season 15,0
Alexis Bledel Lends Hope to Third 'Sisterhood of the Traveling Pants' Movie,0
Jennifer Lopez Tickets,0
Brad Pitt Looking To Buy New Place In LA Arts District Amid Angelina Jolie Romance Rumors,0
Sale of the Etch A Sketch Brand,1
Says Kelly Ayotte voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.,1
"Hillary Clintons State Department sent three comedians to India on the Make Chai, Not War tour.",1
Courteney Cox Urging Jennifer Aniston Not To Reunite With Brad Pitt: ‘Leave Him In The Past’,0
Why did Kanye West think that Kim Kardashian might divorce him?,0
Stop Coddling the Super-Rich,1
Governor Palin is the most popular governor in the country.,1
Dueling Divas! Inside Miley Cyrus & Jennifer Hudson’s EXPLOSIVE Feud On ‘The Voice’,0
More people are apprehended after illegally crossing the U.S.-Mexico border a week than are born in Texas each week.,1
Kim Kardashian & Kanye West Return from Lakeside Getaway for 'Happy' Date Night in Malibu: Source,0
Al Roker Reacts to Matt Lauer's Recent Public Statement Following 'Today' Show Firing (Exclusive),0
Jennifer Garner ‘Doesn’t Want’ Her Kids Around Lindsay Shookus,0
Kim Banned Troubled Kanye From Fashion Week,0
Beyonce Did Reject Kim Kardashian ’ s Baby Gifts  Report,0
"Grateful insurance company executives and their lobbyists"" from Bermuda gave McCain $50,000.	taxes	barack-obama	President	Illinois	democrat	70	71	160	163	9	in a television ad
12259.json	half-true	90 percent of fires in Arizona are human-caused.	fires	doug-ducey	Governor	Arizona	republican	0	0	1	0	0	a press conference on fire season
4753.json	mostly-true	Today 46 percent of all Floridians owe more on their home than it is worth.	economy,housing	rod-smith	Florida Democratic Party Chairman	Florida	democrat	0	1	1	1	0	speech at Florida Democratic Party 2011 Convention
4386.json	mostly-true	Says that when President Obama visited El Paso, he pronounced that the border with Mexico and the United States was safer than it ever was in history.	immigration,new-hampshire-2012	rick-perry	Governor	Texas	republican	30	30	42	23	18	a house party in New Hampshire
4342.json	false	Says Texas gained 21,000 doctors due to tort reform.	health-care,legal-issues,new-hampshire-2012	rick-perry	Governor	Texas	republican	30	30	42	23	18	a speech at ""Politics and Eggs"" in Bedford, N.H.
11645.json	pants-fire	Technically, (Ted Cruz is) not even an American.	elections,legal-issues	alan-grayson	U.S. House of Representatives	Florida	democrat	6	5	4	11	1	an interview on the ""Alan Colmes Show"" on Fox News
13118.json	true	Most private sector jobs in the history of Buffalo exist in Buffalo today	economy,jobs	andrew-cuomo	Governor	New York	democrat	1	0	0	1	0	a speech in Buffalo
1692.json	barely-true	Rubio's ""got more experience than Obama had.",1
"Closing the tobacco loophole would save Missouri taxpayers $50,000,000",1
Comment on Jennifer Aniston Is Reportedly Heartbroken Over Justin Theroux’s Plans To Move In With Emma Stone by Jackie,0
Did Lindsay Lohan Convert to Islam?,0
  Story About Why Beyonce  Kim Kardashian Have Tense Relationship Tense Relationship Is MadeUp,0
Blake Shelton Gwen Stefani Ignoring,0
Q&A: Did slaves build the White House?,1
Kim Kardashian is STALLING construction of 'dream home' over Kanye West's meltdowns,0
"We do not have an overcrowding problem. As a matter of fact, Rhode Island has one of the lowest incarceration rates in the country.",1
"Jennifer Aniston showing off “Revenge Body” for Brad Pitt, Justin Theroux",0
Kanye West's Ye is enjoyable,0
Celebrities React to Secretary of Education Betsy DeVos Not Knowing Anything About Education,0
Kim Kardashian 'resents Kanye West's 'other woman'',0
Madonna on Motherhood Quotes,0
Ryan Seacrest Forced to Talk About Julianne Hough Wedding on Live!,0
'Flip or Flop's' Christina El Moussa headed to 'Real Housewives?' Not so fast,0
Let’s Not Be Civil,1
Nicole Kidman  Keith Urban Getting  413 Million Divorce ,0
"Ben Affleck Was on a 'Bender' Before Jennifer Garner Took Him to Rehab, Source Says",0
A Definitive Timeline of Kylie Jenner and Travis Scott's Relationship,0
"Rihanna Is Laughing At Those Pesky Pregnancy Rumors, But Chris Brown Is Hurt",0
Jennifer Garner Dating Chris Pine After Ben Affleck Divorce?,0
Testimony on the Alternative Minimum Tax,1
Shiloh’s plea to Jennifer Aniston: Can I call you Mummy?,0
